CONTACT;CUSTOMER_LOCATION;ORDER_NO_DATE;REQUIRED_DATE;SHIPPED_DATE;PRODUCT_UNITS;CATEGORY_NAME;QUANTITY;UNIT_PRICE;DISCOUNT
AROUT - Around the Horn, Thomas Hardy;UK, London;10741/2015-11-14;2015-11-28;2015-11-18;Chang (24 - 12 oz bottles );Beverages;15;19;0.2
AROUT - Around the Horn, Thomas Hardy;UK, London;10453/2015-02-21;2015-03-21;2015-02-26;Chocolade (10 pkgs. );Confections;15;10.2;0.1
AROUT - Around the Horn, Thomas Hardy;UK, London;10793/2015-12-24;2016-01-21;2016-01-08;Filo Mix (16 - 2 kg boxes );Grains/Cereals;8;7;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10558/2015-06-04;2015-07-02;2015-06-10;Filo Mix (16 - 2 kg boxes );Grains/Cereals;30;7;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10768/2015-12-08;2016-01-05;2015-12-15;Fløtemysost (10 - 500 g pkgs. );Dairy Products;12;21.5;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10383/2014-12-16;2015-01-13;2014-12-18;Gnocchi di nonna Alice (24 - 250 g pkgs. );Grains/Cereals;20;30.4;0
AROUT - Around the Horn, Thomas Hardy;UK, London;11016/2016-04-10;2016-05-08;2016-04-13;Gorgonzola Telino (12 - 100 g pkgs );Dairy Products;15;12.5;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10953/2016-03-16;2016-03-30;2016-03-25;Gorgonzola Telino (12 - 100 g pkgs );Dairy Products;50;12.5;0.05
AROUT - Around the Horn, Thomas Hardy;UK, London;10768/2015-12-08;2016-01-05;2015-12-15;Gorgonzola Telino (12 - 100 g pkgs );Dairy Products;50;12.5;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10355/2014-11-15;2014-12-13;2014-11-20;Guaraná Fantástica (12 - 355 ml cans );Beverages;25;3.6;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10768/2015-12-08;2016-01-05;2015-12-15;Gustaf's Knäckebröd (24 - 500 g pkgs. );Grains/Cereals;4;21;0
AROUT - Around the Horn, Thomas Hardy;UK, London;11016/2016-04-10;2016-05-08;2016-04-13;Inlagd Sill (24 - 250 g  jars );Seafood;16;19;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10793/2015-12-24;2016-01-21;2016-01-08;Jack's New England Clam Chowder (12 - 12 oz cans );Seafood;14;9.65;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10383/2014-12-16;2015-01-13;2014-12-18;Konbu (2 kg box );Seafood;20;4.8;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10864/2016-02-02;2016-03-02;2016-02-09;Laughing Lumberjack Lager (24 - 12 oz bottles );Beverages;15;14;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10558/2015-06-04;2015-07-02;2015-06-10;Manjimup Dried Apples (50 - 300 g pkgs. );Produce;20;53;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10453/2015-02-21;2015-03-21;2015-02-26;Outback Lager (24 - 355 ml bottles );Beverages;25;12;0.1
AROUT - Around the Horn, Thomas Hardy;UK, London;10707/2015-10-16;2015-10-30;2015-10-23;Outback Lager (24 - 355 ml bottles );Beverages;28;15;0.15
AROUT - Around the Horn, Thomas Hardy;UK, London;10558/2015-06-04;2015-07-02;2015-06-10;Perth Pasties (48 pieces );Meat/Poultry;18;32.8;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10707/2015-10-16;2015-10-30;2015-10-23;Pâté chinois (24 boxes x 2 pies );Meat/Poultry;21;24;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10707/2015-10-16;2015-10-30;2015-10-23;Ravioli Angelo (24 - 250 g pkgs. );Grains/Cereals;40;19.5;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10355/2014-11-15;2014-12-13;2014-11-20;Ravioli Angelo (24 - 250 g pkgs. );Grains/Cereals;25;15.6;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10558/2015-06-04;2015-07-02;2015-06-10;Röd Kaviar (24 - 150 g jars );Seafood;3;15;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10953/2016-03-16;2016-03-30;2016-03-25;Sir Rodney's Marmalade (30 gift boxes );Confections;50;81;0.05
AROUT - Around the Horn, Thomas Hardy;UK, London;10743/2015-11-17;2015-12-15;2015-11-21;Spegesild (4 - 450 g glasses );Seafood;28;12;0.05
AROUT - Around the Horn, Thomas Hardy;UK, London;10864/2016-02-02;2016-03-02;2016-02-09;Steeleye Stout (24 - 12 oz bottles );Beverages;4;18;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10920/2016-03-03;2016-03-31;2016-03-09;Valkoinen suklaa (12 - 100 g bars );Confections;24;16.25;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10383/2014-12-16;2015-01-13;2014-12-18;Valkoinen suklaa (12 - 100 g bars );Confections;15;13;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10558/2015-06-04;2015-07-02;2015-06-10;Zaanse koeken (10 - 4 oz boxes );Confections;25;9.5;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10444/2015-02-12;2015-03-12;2015-02-21;Alice Mutton (20 - 1 kg tins );Meat/Poultry;10;31.2;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10857/2016-01-28;2016-02-25;2016-02-06;Aniseed Syrup (12 - 550 ml bottles );Condiments;30;10;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10837/2016-01-16;2016-02-13;2016-01-23;Boston Crab Meat (24 - 4 oz tins );Seafood;25;18.4;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10572/2015-06-18;2015-07-16;2015-06-25;Boston Crab Meat (24 - 4 oz tins );Seafood;50;18.4;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10626/2015-08-11;2015-09-08;2015-08-20;Camembert Pierrot (15 - 300 g rounds );Dairy Products;20;34;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10384/2014-12-16;2015-01-13;2014-12-20;Camembert Pierrot (15 - 300 g rounds );Dairy Products;15;27.2;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10689/2015-10-01;2015-10-29;2015-10-07;Chai (10 boxes x 20 bags );Beverages;35;18;0.25
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10866/2016-02-03;2016-03-03;2016-02-12;Chang (24 - 12 oz bottles );Beverages;21;19;0.25
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10445/2015-02-13;2015-03-13;2015-02-20;Chartreuse verte (750 cc per bottle );Beverages;6;14.4;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10654/2015-09-02;2015-09-30;2015-09-11;Chartreuse verte (750 cc per bottle );Beverages;20;18;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10654/2015-09-02;2015-09-30;2015-09-11;Chef Anton's Cajun Seasoning (48 - 6 oz jars );Condiments;12;22;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10672/2015-09-17;2015-10-01;2015-09-26;Côte de Blaye (12 - 75 cl bottles );Beverages;15;263.5;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10733/2015-11-07;2015-12-05;2015-11-10;Filo Mix (16 - 2 kg boxes );Grains/Cereals;25;7;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10626/2015-08-11;2015-09-08;2015-08-20;Fløtemysost (10 - 500 g pkgs. );Dairy Products;20;21.5;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10672/2015-09-17;2015-10-01;2015-09-26;Fløtemysost (10 - 500 g pkgs. );Dairy Products;12;21.5;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10280/2014-08-14;2014-09-11;2014-09-12;Guaraná Fantástica (12 - 355 ml cans );Beverages;12;3.6;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10866/2016-02-03;2016-03-03;2016-02-12;Guaraná Fantástica (12 - 355 ml cans );Beverages;6;4.5;0.25
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10278/2014-08-12;2014-09-09;2014-08-16;Gula Malacca (20 - 2 kg bags );Condiments;16;15.5;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10857/2016-01-28;2016-02-25;2016-02-06;Gumbär Gummibärchen (100 - 250 g bags );Confections;35;31.23;0.25
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10444/2015-02-12;2015-03-12;2015-02-21;Gumbär Gummibärchen (100 - 250 g bags );Confections;15;24.9;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10524/2015-05-01;2015-05-29;2015-05-07;Ikura (12 - 200 ml jars );Seafood;2;31;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10924/2016-03-04;2016-04-01;2016-04-08;Ikura (12 - 200 ml jars );Seafood;20;31;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10524/2015-05-01;2015-05-29;2015-05-07;Ipoh Coffee (16 - 500 g tins );Beverages;60;46;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10444/2015-02-12;2015-03-12;2015-02-21;Jack's New England Clam Chowder (12 - 12 oz cans );Seafood;30;7.7;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10778/2015-12-16;2016-01-13;2015-12-24;Jack's New England Clam Chowder (12 - 12 oz cans );Seafood;10;9.65;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10837/2016-01-16;2016-02-13;2016-01-23;Konbu (2 kg box );Seafood;6;6;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10837/2016-01-16;2016-02-13;2016-01-23;Lakkalikööri (500 ml );Beverages;21;18;0.25
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10572/2015-06-18;2015-07-16;2015-06-25;Mascarpone Fabioli (24 - 200 g pkgs. );Dairy Products;10;32;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10875/2016-02-06;2016-03-06;2016-03-03;Maxilaku (24 - 50 g pkgs. );Confections;15;20;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10866/2016-02-03;2016-03-03;2016-02-12;Nord-Ost Matjeshering (10 - 200 g glasses );Seafood;40;25.89;0.25
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10524/2015-05-01;2015-05-29;2015-05-07;Nord-Ost Matjeshering (10 - 200 g glasses );Seafood;10;25.89;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10572/2015-06-18;2015-07-16;2015-06-25;Pavlova (32 - 500 g boxes );Confections;12;17.45;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10626/2015-08-11;2015-09-08;2015-08-20;Perth Pasties (48 pieces );Meat/Poultry;12;32.8;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10280/2014-08-14;2014-09-11;2014-09-12;Pâté chinois (24 boxes x 2 pies );Meat/Poultry;20;19.2;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10278/2014-08-12;2014-09-09;2014-08-16;Raclette Courdavault (5 kg pkg. );Dairy Products;15;44;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10924/2016-03-04;2016-04-01;2016-04-08;Rhönbräu Klosterbier (24 - 0.5 l bottles );Beverages;6;7.75;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10572/2015-06-18;2015-07-16;2015-06-25;Rhönbräu Klosterbier (24 - 0.5 l bottles );Beverages;15;7.75;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10280/2014-08-14;2014-09-11;2014-09-12;Rhönbräu Klosterbier (24 - 0.5 l bottles );Beverages;30;6.2;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10278/2014-08-12;2014-09-09;2014-08-16;Röd Kaviar (24 - 150 g jars );Seafood;25;12;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10924/2016-03-04;2016-04-01;2016-04-08;Rössle Sauerkraut (25 - 825 g cans );Produce;30;45.6;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10733/2015-11-07;2015-12-05;2015-11-10;Rössle Sauerkraut (25 - 825 g cans );Produce;20;45.6;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10384/2014-12-16;2015-01-13;2014-12-20;Sir Rodney's Marmalade (30 gift boxes );Confections;28;64.8;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10444/2015-02-12;2015-03-12;2015-02-21;Steeleye Stout (24 - 12 oz bottles );Beverages;8;14.4;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10875/2016-02-06;2016-03-06;2016-03-03;Teatime Chocolate Biscuits (10 boxes x 12 pieces );Confections;25;9.2;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10857/2016-01-28;2016-02-25;2016-02-06;Thüringer Rostbratwurst (50 bags x 30 sausgs. );Meat/Poultry;10;123.79;0.25
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10733/2015-11-07;2015-12-05;2015-11-10;Tofu (40 - 100 g pkgs. );Produce;16;23.25;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10654/2015-09-02;2015-09-30;2015-09-11;Tourtière (16 pies );Meat/Poultry;6;7.45;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10524/2015-05-01;2015-05-29;2015-05-07;Tourtière (16 pies );Meat/Poultry;15;7.45;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10445/2015-02-13;2015-03-13;2015-02-20;Tourtière (16 pies );Meat/Poultry;15;5.9;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10278/2014-08-12;2014-09-09;2014-08-16;Vegie-spread (15 - 625 g jars );Condiments;8;35.1;0
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10875/2016-02-06;2016-03-06;2016-03-03;Zaanse koeken (10 - 4 oz boxes );Confections;21;9.5;0.1
BERGS - Berglunds snabbköp, Christina Berglund;Sweden, Luleå;10837/2016-01-16;2016-02-13;2016-01-23;Zaanse koeken (10 - 4 oz boxes );Confections;40;9.5;0.25
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;11058/2016-04-29;2016-05-27;;Camembert Pierrot (15 - 300 g rounds );Dairy Products;21;34;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10853/2016-01-27;2016-02-24;2016-02-03;Carnarvon Tigers (16 kg pkg. );Seafood;10;62.5;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10614/2015-07-29;2015-08-26;2015-08-01;Chartreuse verte (750 cc per bottle );Beverages;5;18;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10582/2015-06-27;2015-07-25;2015-07-14;Lakkalikööri (500 ml );Beverages;14;18;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10956/2016-03-17;2016-04-28;2016-03-20;Manjimup Dried Apples (50 - 300 g pkgs. );Produce;8;53;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10614/2015-07-29;2015-08-26;2015-08-01;Queso Cabrales (1 kg pkg. );Dairy Products;14;21;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10582/2015-06-27;2015-07-25;2015-07-14;Ravioli Angelo (24 - 250 g pkgs. );Grains/Cereals;4;19.5;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10509/2015-04-17;2015-05-15;2015-04-29;Rössle Sauerkraut (25 - 825 g cans );Produce;3;45.6;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10956/2016-03-17;2016-04-28;2016-03-20;Sir Rodney's Scones (24 pkgs. x 4 pieces );Confections;12;10;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;11058/2016-04-29;2016-05-27;;Sir Rodney's Scones (24 pkgs. x 4 pieces );Confections;3;10;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10614/2015-07-29;2015-08-26;2015-08-01;Sir Rodney's Scones (24 pkgs. x 4 pieces );Confections;8;10;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;11058/2016-04-29;2016-05-27;;Sirop d'érable (24 - 500 ml bottles );Condiments;4;28.5;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10501/2015-04-09;2015-05-07;2015-04-16;Tourtière (16 pies );Meat/Poultry;20;7.45;0
BLAUS - Blauer See Delikatessen, Hanna Moos;Germany, Mannheim;10956/2016-03-17;2016-04-28;2016-03-20;Zaanse koeken (10 - 4 oz boxes );Confections;14;9.5;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10265/2014-07-25;2014-08-22;2014-08-12;Alice Mutton (20 - 1 kg tins );Meat/Poultry;30;31.2;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10566/2015-06-12;2015-07-10;2015-06-18;Carnarvon Tigers (16 kg pkg. );Seafood;18;62.5;0.15
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10628/2015-08-12;2015-09-09;2015-08-20;Chai (10 boxes x 20 bags );Beverages;25;18;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10297/2014-09-04;2014-10-16;2014-09-10;Chartreuse verte (750 cc per bottle );Beverages;60;14.4;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10360/2014-11-22;2014-12-20;2014-12-02;Côte de Blaye (12 - 75 cl bottles );Beverages;10;210.8;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10449/2015-02-18;2015-03-18;2015-02-27;Filo Mix (16 - 2 kg boxes );Grains/Cereals;20;5.6;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10436/2015-02-05;2015-03-05;2015-02-11;Gnocchi di nonna Alice (24 - 250 g pkgs. );Grains/Cereals;40;30.4;0.1
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10826/2016-01-12;2016-02-09;2016-02-06;Gorgonzola Telino (12 - 100 g pkgs );Dairy Products;35;12.5;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10584/2015-06-30;2015-07-28;2015-07-04;Gorgonzola Telino (12 - 100 g pkgs );Dairy Products;50;12.5;0.05
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10449/2015-02-18;2015-03-18;2015-02-27;Ikura (12 - 200 ml jars );Seafood;14;24.8;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10559/2015-06-05;2015-07-03;2015-06-13;Jack's New England Clam Chowder (12 - 12 oz cans );Seafood;12;9.65;0.05
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10566/2015-06-12;2015-07-10;2015-06-18;Lakkalikööri (500 ml );Beverages;10;18;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10360/2014-11-22;2014-12-20;2014-12-02;Maxilaku (24 - 50 g pkgs. );Confections;35;16;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10297/2014-09-04;2014-10-16;2014-09-10;Mozzarella di Giovanni (24 - 200 g pkgs. );Dairy Products;20;27.8;0
BLONP - Blondel père et fils, Frédérique Citeaux;France, Strasbourg;10265/2014-07-25;2014-08-22;2014-08-12;Outback Lager (24 - 355 ml bottles );Beverages;20;12;0
